director
Kenji Mizoguchi
Edmund Goulding
Bayard Veiller
Lionel Barrymore
Jack Conway
Marshall Neilan
William K. Howard
Léon Poirier
Victor Fleming
Yasujirô Ozu
"Arnold Fanck, Georg Wilhelm Pabst"
"Clyde Bruckman, Malcolm St. Clair"
Tod Browning
William A. Seiter
Sidney Franklin
Dorothy Arzner
Hanns Schwarz
Frank Capra
D.W. Griffith
Lewis Milestone
Victor Heerman
Clarence Brown
Jacques Feyder
Julien Duvivier
William A. Seiter
Roland West
Thornton Freeland
Herbert Brenon
Frank Tuttle
"George W. Hill, Ward Wing"
Hobart Henley
"Raoul Walsh, Louis R. Loeffler"
King Vidor
"David Burton, Nick Grinde"
Josef von Sternberg
Kenneth MacPherson
John Ford
Michael Curtiz
Charles Brabin
Alan Crosland
Al Christie
Melville W. Brown
Harry Beaumont
F.W. Murnau
Christy Cabanne
Anthony Asquith
Paul Sloane
George B. Seitz
Julien Duvivier
Howard Hawks
George Fitzmaurice
Edmund Goulding
Robert Z. Leonard
Luther Reed
Archie Mayo
Edward Sedgwick
Wilhelm Thiele
"André Charlot, Jack Hulbert"
Phil Rosen
Leslie Pearce
Fred C. Newmeyer
Roy William Neill
"Clyde Bruckman, Harold Lloyd"
William A. Seiter
Harry Beaumont
"Lloyd Corrigan, Laurence Schwab"
John Cromwell
George Archainbaud
Edward Sedgwick
Sam Wood
William A. Seiter
Ray Enright
Nick Grinde
Alfred E. Green
Paul Sloane
Benjamin Stoloff
Henry King
"Howard Hughes, Edmund Goulding"
Tay Garnett
Yasujirô Ozu
Edward H. Griffith
Edward F. Cline
Roy Pomeroy
James Whale
David Butler
"John Murray Anderson, Walter Lantz"
Frank Capra
Sidney Franklin
Victor Sjöström
Frank Lloyd
Harry d'Abbadie d'Arrast
Robert Z. Leonard
Leo McCarey
Roy Del Ruth
"Otto Brower, Edwin H. Knopf"
Frank Borzage
Mervyn LeRoy
Ted Wilde
"Harry Beaumont, William Nigh"
Lowell Sherman
Paul L. Stein
Charles Reisner
Melville W. Brown
Cecil B. DeMille
Michael Curtiz
George Abbott
Alfred Hitchcock
Michael Curtiz
William A. Wellman
Scott Pembroke
John Ford
George W. Hill
Lloyd Bacon
Malcolm St. Clair
Ernst Lubitsch
Josef von Sternberg
Alfred Hitchcock
Jack Conway
King Vidor
Lloyd Bacon
"Lloyd Bacon, Michael Curtiz"
John Francis Dillon
Paul L. Stein
Harry Beaumont
Tod Browning
"Robert Milton, Ray Enright"
Sam Wood
"Dorothy Arzner, Otto Brower"
Victor Halperin
William C. de Mille
Jean Grémillon
Mervyn LeRoy
"Yakov Protazanov, Porfiri Podobed"
Augusto Genina
Edward Sloman
George Fitzmaurice
"George Fitzmaurice, Harry d'Abbadie d'Arrast"
Frank Capra
Yasujirô Ozu
Edmund Goulding
"Fred Niblo, Lionel Barrymore"
"Nick Grinde, Malcolm St. Clair"
Victor Fleming
Rowland V. Lee
Michael Curtiz
William Beaudine
"Lionel Barrymore, Hal Roach"
"Irene Starewicz, Wladyslaw Starewicz"
Clarence Brown
"George Cukor, Cyril Gardner"
Donald Crisp
Jean Cocteau
Dorothy Arzner
"Lionel Barrymore, Wesley Ruggles"
Charles Brabin
Mervyn LeRoy
George Archainbaud
Louis Wolheim
Paul L. Stein
John G. Adolfi
Sam Wood
Lloyd Bacon
Frank Lloyd
Frank Borzage
Yasujirô Ozu
Benjamin Stoloff
René Clair
John Francis Dillon
John Cromwell
William A. Seiter
Alfred E. Green
John Cromwell
"Jack Conway, Sam Wood"
Roy Del Ruth
John Cromwell
Karl Anton
Mervyn LeRoy
Frank Tuttle
William A. Seiter
Jack Conway
John Ford
"Ludwig Berger, Ernst Lubitsch"
"George Cukor, Louis J. Gasnier"
Edgar Selwyn
Fred Niblo
Sam Wood
Georg Wilhelm Pabst
Thornton Freeland
Archie Mayo
Edward F. Cline
Monta Bell
Aleksandr Dovzhenko
Luis Buñuel
Marion Gering
Ardeshir Irani
John G. Adolfi
Bud Pollard
Sam Taylor
Josef von Sternberg
"Wesley Ruggles, Howard Estabrook"
John Ford
Lowell Sherman
Robert Z. Leonard
Frank Borzage
Hobart Henley
Roy Del Ruth
Melville W. Brown
"Karl Hartl, Luis Trenker"
Phil Jutzi
William A. Seiter
Fred Niblo
Hamilton MacFadden
Roy Del Ruth
Hanns Schwarz
Paul L. Stein
John Ford
Mervyn LeRoy
James W. Horne
"William A. Seiter, William A. Seiter"
King Vidor
Allan Dwan
Hamilton MacFadden
"George Abbott, Berthold Viertel"
Jean Renoir
Stuart Paton
Wesley Ruggles
Charles Chaplin
Rouben Mamoulian
Anatole Litvak
Paul L. Stein
David Butler
Paul Sloane
Roland West
Edward F. Cline
Howard Hawks
W.S. Van Dyke
Alfred Santell
Harry Beaumont
Jack Conway
Lloyd Corrigan
Jacques Feyder
David Butler
Robert Milton
Frank Capra
William K. Howard
"Tod Browning, Karl Freund"
"George Melford, Enrique Tovar Ávalos"
Georg Wilhelm Pabst
George B. Seitz
Jack Conway
Frank Lloyd
George Melford
Mervyn LeRoy
Gerhard Lamprecht
Clyde Bruckman
Hobart Henley
Stuart Walker
Lloyd Bacon
"Otto Brower, David Burton"
Abel Gance
John Francis Dillon
Mervyn LeRoy
Robert Z. Leonard
Charles Reisner
James Whale
Clarence Brown
Victor Schertzinger
Lewis Milestone
B. Reeves Eason
Richard Boleslawski
Mervyn LeRoy
George Cukor
Michael Curtiz
Alfred E. Green
Harry Beaumont
Charles Brabin
Sidney Franklin
Rowland V. Lee
"W.S. Van Dyke, Lionel Barrymore"
William Dieterle
Edward Sloman
Irving Cummings
Dorothy Arzner
Clarence G. Badger
William Wyler
Steve Sekely
William C. McGann
Marion Gering
Archie Mayo
Leo McCarey
Clarence Brown
Tod Browning
Georg Wilhelm Pabst
Lloyd Bacon
Sam Taylor
William A. Seiter
Erik Charell
Marion Gering
Lothar Mendes
George Archainbaud
Yasujirô Ozu
William Dieterle
Gregory La Cava
Harry Beaumont
Ernst Lubitsch
Mario Peixoto
Mervyn LeRoy
Russell Mack
Fritz Lang
Michael Curtiz
Heinosuke Gosho
Roy Del Ruth
Sam Wood
"Richard Wallace, Edward Goodman"
Lloyd Bacon
Robert Siodmak
Alexander Korda
George B. Seitz
Edgar Selwyn
William A. Wellman
John Francis Dillon
René Clair
John G. Adolfi
Frank Capra
Norman Z. McLeod
Frank R. Strayer
Edward Sloman
Roy Del Ruth
George Abbott
Albert S. Rogell
"Leontine Sagan, Carl Froelich"
"Erich Engel, Fyodor Otsep"
Edward F. Cline
W.S. Van Dyke
Sam Wood
"Victor Trivas, George Shdanoff"
William A. Wellman
Daisuke Itô
"Grigoriy Kozintsev, Leonid Trauberg"
Jean Renoir
Georg Wilhelm Pabst
William A. Wellman
"Howard Higgin, Tom Buckingham"
A. Edward Sutherland
James Parrott
Edward Sedgwick
William A. Seiter
William Beaudine
John S. Robertson
Alan James
Frank Capra
Charles Reisner
James W. Horne
Clarence Brown
Sidney Franklin
J. Walter Ruben
William A. Wellman
Nikolai Ekk
Rowland Brown
D. Ross Lederman
Edward H. Griffith
John Francis Dillon
Charles Reisner
William Dieterle
Frank Lloyd
Alfred E. Green
Lowell Sherman
Rowland V. Lee
William A. Wellman
Antonio Moreno
John Ford
George W. Hill
