imdb_title_id,companies
17350,Metro-Goldwyn-Mayer (MGM)
17354,Warner Bros.
17374,Fox Film Corporation
17378,Leningradkino
17382,Paramount Pictures
17409,Warner Bros.
17410,Paramount Pictures
17416,Feature Productions
17419,D.W. Griffith Productions
17423,Pickford Corporation
17437,Harry Langdon Corporation
17438,Sokal-Film GmbH
17448,Universum Film (UFA)
17449,Metro-Goldwyn-Mayer (MGM)
17463,Fox Film Corporation
17480,Cosmopolitan Productions
17483,Harry Langdon Corporation
17519,DeMille Pictures Corporation
17534,Metro-Goldwyn-Mayer (MGM)
17540,Fox Film Corporation
17567,The Samuel Goldwyn Company
17619,DeMille Pictures Corporation
17621,Ama-Film GmbH
17632,Metro-Goldwyn-Mayer (MGM)
17653,Sovkino
17662,Paramount Pictures
17667,Feature Productions
17726,Sascha-Film
17735,Metro-Goldwyn-Mayer (MGM)
17736,Ciné-Alliance
17739,Universal Pictures
17750,DeMille Pictures Corporation
17751,Famous Players-Lasky Corporation
17765,Joseph M. Schenck Productions
17809,Mezhrabpom-Rus
17825,Gainsborough Pictures
17832,First National Pictures
17843,Gainsborough Pictures
17860,Cosmopolitan Productions
17886,Warner Bros.
17918,Elton Corporation
17925,Buster Keaton Productions
17928,Paramount Famous Lasky Corporation
17938,Films Jean Epstein
17961,Vostokfilm
17998,Gaumont British Picture Corporation
18014,Paramount Pictures
18016,Paramount Pictures
18033,Paramount Pictures
18037,Warner Bros.
18045,Société des Films Historiques
18051,The Harold Lloyd Corporation (II)
18054,DeMille Pictures Corporation
18066,Mezhrabpom-Rus
18087,Universum Film (UFA)
18097,Metro-Goldwyn-Mayer (MGM)
18102,Harry Langdon Corporation
18107,Metro-Goldwyn-Mayer (MGM)
18113,Gloria Swanson Pictures
18138,Metro-Goldwyn-Mayer (MGM)
18166,Metro-Goldwyn-Mayer (MGM)
18179,Metro-Goldwyn-Mayer (MGM)
18183,Mary Pickford Company
18192,Ciné France
18217,Sovkino
18218,Warner Bros.
18235,John McCormick Productions
18247,Fox Film Corporation
18253,First National Pictures
18268,Mezhrabpom-Rus
18297,Cosmopolitan Productions
18311,Cosmopolitan Productions
18328,British International Pictures (BIP)
18351,Paramount Pictures
18362,Colored Players Film Corporation
18379,Frank Borzage Production
18389,DeMille Pictures Corporation
18392,British Instructional Films (BIF)
18397,Metro-Goldwyn-Mayer (MGM)
18413,Metro-Goldwyn-Mayer (MGM)
18440,Metro-Goldwyn-Mayer (MGM)
18451,Metro-Goldwyn-Mayer (MGM)
18453,Vseukrainske Foto Kino Upravlinnia (VUFKU)
18455,Fox Film Corporation
