writer
Alexander Black
Charles Tait
"Herman Bernstein, Herman Bernstein"
"Elliott J. Clawson, James Gleason"
"Pierre Collings, Frederick J. Jackson"
"Al Boasberg, Robert E. Hopkins"
"Abraham Merritt, Benjamin Christensen"
Rolf E. Vanloo
"Edith Ellis, Edgar Franklin"
"O. Henry, Tom Barry"
"Benn W. Levy, Liam O'Flaherty"
"Lotta Woods, Douglas Fairbanks"
"Byron Morgan, Leonard Praskins"
"George M. Saville, Hanns Kräly"
"Jens Andreas Friis, George Schnéevoigt"
"Walter Anthony, James Ashmore Creelman"
"Wadsworth Camp, Alfred A. Cohn"
Frederick Lonsdale
W. Somerset Maugham
"Maxine Alton, Margaret Prescott Montague"
"Channing Pollock, C. Gardner Sullivan"
"Ernest Vajda, Guy Bolton"
"Edward J. Montagne, Clarence Thompson"
"John Hunter Booth, H.H. Caldwell"
"Alexandre Bisson, Willard Mack"
"Hall Caine, Eliot Stannard"
"Dale Van Every, Laurence Stallings"
"Joseph Farnham, Laurence Stallings"
"Curt Siodmak, Billy Wilder"
"Norman Houston, Gladys Lehman"
"Alexandre Dumas, Auguste Maquet"
"Willy Döll, Jan Fethke"
"Lloyd Corrigan, Lloyd Corrigan"
"Jules Verne, Lucien Hubbard"
"Raymond L. Schrock, Dale Van Every"
"Hugh Stanislaus Stange, Jules Furthman"
"Darryl F. Zanuck, Anthony Coldeway"
"Francis de Croisset, Jacques Feyder"
"Grigoriy Kozintsev, Leonid Trauberg"
"Fridrikh Ermler, Ekaterina Vinogradskaya"
"Humphrey Pearson, Robert Lord"
"Josephine Lovett, Marian Ainslee"
"John Russell, Dorothy Farnum"
Arnold Bennett
"Niranjan Pal, W.A. Burton"
"Henri Barbusse, Valentin Turkin"
"Erich von Stroheim, Marian Ainslee"
"Paul Gangelin, Paul Gangelin"
"Julian Johnson, Elizabeth Pickett"
"Luther Reed, Guy Bolton"
"John Hunter Booth, Dwight Cummins"
"Robert E. Hopkins, Bess Meredyth"
"Corrado D'Errico, Mario Camerini"
"Guy Bolton, Waldemar Young"
"Tristram Tupper, John Stone"
"George Abbott, Lloyd Corrigan"
"Earl Derr Biggers, George M. Cohan"
"Charles Logue, Charles Logue"
"Edna Ferber, Edward J. Montaigne"
"J. Keirn Brennan, Frank Fay"
"W. Douglas Burden, Richard Carver"
"Adela Rogers St. Johns, Josephine Lovett"
"Al Boasberg, Delmer Daves"
"Walter Jerven, Liesl Karlstadt"
"Byron Morgan, Ann Price"
"Lew Lipton, Ernest Pagano"
"Jean Bart, Bradley King"
"Grigoriy Aleksandrov, Sergei M. Eisenstein"
"Jane Murfin, W. Carey Wonderly"
"A. Channing Edington, Carmen Ballen Edington"
"Buddy G. DeSylva, Lew Brown"
"Margarete Böhme, Rudolf Leonhardt"
"William Shakespeare, Sam Taylor"
Thomas J. Geraghty
"Sarita Fuller, Frances Marion"
"Owen Davis, Homer Croy"
Bayard Veiller
"Charles Furthman, Jules Furthman"
"Peter B. Kyne, Joseph Farnham"
"Shuichi Hatamoto, Kan Kikuchi"
Edmund Goulding
"Becky Gardiner, Bayard Veiller"
"Ben Hecht, Edwin Justus Mayer"
"Charles E. Scoggins, Lucille Newmark"
James Ashmore Creelman
"Tom Barry, Tom Barry"
Léon Poirier
"Owen Wister, Kirk La Shelle"
"Akira Fushimi, Yasujirô Ozu"
"Arnold Fanck, Ladislaus Vajda"
"Paul Gerard Smith, Felix Adler"
"Tod Browning, Harry Sinclair Drago"
"Paul Perez, Carey Wilson"
"John Colton, Willis Goldbeck"
"Samuel Hopkins Adams, E. Lloyd Sheldon"
"Fritz Rotter, Hans Székely"
"Fannie Hurst, Sonya Levien"
"Stephen Vincent Benet, John W. Considine Jr."
"Erich Maria Remarque, Maxwell Anderson"
"George S. Kaufman, Morrie Ryskind"
"Frances Marion, Eugene O'Neill"
"Walter Hasenclever, Frances Marion"
"Noël Renard, Émile Zola"
"Fannie Hurst, Francis Edward Faragoh"
"Mary Roberts Rinehart, Avery Hopwood"
"Max Marcin, Thornton Freeland"
"Percival Christopher Wren, Elizabeth Meehan"
"S.S. Van Dine, Bartlett Cormack"
"Frances Marion, Joseph Farnham"
"A.E. Thomas, George Middleton"
Hal G. Evarts
"Walter Noble Burns, Laurence Stallings"
"S.S. Van Dine, Lenore J. Coffee"
"Heinrich Mann, Carl Zuckmayer"
Kenneth MacPherson
"Dudley Nichols, Dudley Nichols"
"Humphrey Pearson, Henry McCarty"
"Dorothy Farnum, John Colton"
"Pierre Couderc, Hal Davitt"
"Brandon Thomas, F. McGrew Willis"
"Bert Kalmar, Harry Ruby"
"Crane Wilbur, Richard Schayer"
"Elliott Lester, Berthold Viertel"
Beulah Marie Dix
"Herbert Price, Anthony Asquith"
"Guy Bolton, Bert Kalmar"
James Ashmore Creelman
"Irène Némirovsky, Julien Duvivier"
"John Monk Saunders, Dan Totheroh"
"Frederick Lonsdale, Benjamin Glazer"
"Edmund Goulding, Edmund Goulding"
"Ursula Parrott, Nick Grinde"
"Luther Reed, Anne Caldwell"
"Rowland Brown, George Rosener"
"Al Boasberg, Sidney Lazarus"
"Franz Schulz, Paul Frank"
"Adrian Brunel, Walter C. Mycroft"
"Andrew Percival Younger, Adele Buffington"
"George Abbott, James Gleason"
"Doris Anderson, David Gray"
"Roy Chanslor, Charles Logue"
"John Grey, Alfred A. Cohn"
A.E.W. Mason
"Gene Markey, Gene Markey"
"Lew Brown, Buddy G. DeSylva"
"Oliver H.P. Garrett, Charles Furthman"
"Paul Schofield, Wallace Smith"
"Richard Schayer, Paul Dickey"
"Sarah Y. Mason, Andrew Percival Younger"
"James Montgomery, Humphrey Pearson"
"Otto A. Harbach, Oscar Hammerstein II"
"Laurence Schwab, Lew Brown"
"William Archer, Julien Josephson"
"James Ashmore Creelman, Anne Caldwell"
"Sidney Lanfield, Edwin J. Burke"
"Frédérique De Grésac, Rida Johnson Young"
"Marshall Neilan, Joseph Moncure March"
"Tom Buckingham, Tay Garnett"
"Tadao Ikeda, Hiroshi Shimizu"
"Philip Barry, Horace Jackson"
"Tim Whelan, Ralph Spence"
"Earl Derr Biggers, Ewart Adamson"
"Gareth Gundrey, Joseph Moncure March"
"Buddy G. DeSylva, Lew Brown"
Harry Ruskin
"Milton Herbert Gropper, Jo Swerling"
"Frederick Lonsdale, Hanns Kräly"
"Sidney Howard, Sidney Howard"
"Lanier Bartlett, Virginia Stivers Bartlett"
"Douglas Z. Doty, Douglas Z. Doty"
"Rachel Crothers, Lucille Newmark"
"Percy Heath, George Marion Jr."
"Darryl F. Zanuck, Arthur Caesar"
"Grover Jones, William Slavens McNutt"
"Ferenc Molnár, S.N. Behrman"
"W.R. Burnett, Francis Edward Faragoh"
Sam Janney
"Nell Martin, Willard Mack"
"Samuel Shipman, John B. Hymer"
"Herbert Stothart, Howard Emmett Rogers"
"Vincent Lawrence, Sarah Y. Mason"
"William LeBaron, J. Walter Ruben"
"Jeanie Macpherson, Gladys Unger"
"Irving Berlin, Gordon Rigby"
"George Abbott, Alice Duer Miller"
"Clemence Dane, Herbert Juttke"
"Yves Mirande, André Mouëzy-Éon"
"Darryl F. Zanuck, Joseph Jackson"
"Ladye Horton, Elliott Lester"
"John Ford, James Kevin McGuinness"
"Lorna Moon, Frances Marion"
"Herman Melville, Oliver H.P. Garrett"
"Sylvia Thalberg, Frank Butler"
"Ernest Vajda, Hans Müller"
"Jules Furthman, Benno Vigny"
"Clemence Dane, Helen Simpson"
"Oscar Hammerstein II, Frank Mandel"
"George S. Kaufman, Marc Connelly"
"Audrey Carter, Waverly Carter"
"Faith Baldwin, Charles Kenyon"
"Frederick Hazlitt Brennan, Forrest Halsey"
"Maxwell Anderson, Melville Baker"
Edwin Justus Mayer
"Tod Browning, Tod Browning"
"Sutton Vane, J. Grubb Alexander"
"Bayard Veiller, Lucien Hubbard"
"Josep Carner Ribalta, Joseph L. Mankiewicz"
"Edwin Balmer, George Draney"
"Kathleen Norris, Martin Flavin"
Charles Spaak
"Frances Nordstrom, Viña Delmar"
"Harald Bergstedt, Sigizmund Krzhizhanovsky"
"René Clair, Georg Wilhelm Pabst"
"Billy K. Wells, James Gleason"
"Louis Bromfield, Sidney Howard"
"Sidney Howard, E.W. Hornung"
"James Gleason, Maurice Marks"
"Akira Fushimi, Yasujirô Ozu"
"Irving Berlin, Edmund Goulding"
"Dorothy Farnum, Arthur Hopkins"
"Albert C. Fuller, Jack Nelson"
"André Armandy, Jules Furthman"
"Sax Rohmer, Lloyd Corrigan"
"James Oliver Curwood, Charles Kenyon"
"Dodson Mitchell, F. Hugh Herbert"
"Robert Bodanzky, John Colton"
"Jean Nohain, Antoinette Nordmann"
"Edward Sheldon, Bess Meredyth"
"Edna Ferber, George S. Kaufman"
"H.H. Van Loan, Lolita Ann Westman"
Jean Cocteau
"Zoe Akins, Zoe Akins"
"Dorothy Yost, Bess Meredyth"
"Dale Collins, John Howard Lawson"
"J.P. McEvoy, Harvey F. Thew"
"Rex Beach, Wallace Smith"
"Keene Thompson, Agnes Brand Leahy"
"Horace Jackson, Robert Milton"
"Marie Baumer, Harvey F. Thew"
"Elliott Nugent, J.C. Nugent"
"De Leon Anthony, Arthur Caesar"
"Rex Beach, Bradley King"
"Tom Barry, Sonya Levien"
"Kôgo Noda, Oscar Schisgall"
Rube Goldberg
René Clair
"Owen Davis, Jimmy Starr"
"Oliver H.P. Garrett, Lenore J. Coffee"
"Otto A. Harbach, Oscar Hammerstein II"
"David Belasco, Egerton Castle"
"Oliver H.P. Garrett, O. Henry"
"Andrew Percival Younger, Sarah Y. Mason"
"Arthur Caesar, Arthur Caesar"
"Mark Twain, Grover Jones"
"Willy Haas, Egon Erwin Kisch"
"Harry Ruby, Bert Kalmar"
"Keene Thompson, Doris Anderson"
"H.V. Esmond, B. Harrison Orkow"
Clarence Aaron 'Tod' Robbins
Maurine Dallas Watkins
"Brian Hooker, Herman J. Mankiewicz"
"Martin Brown, Louise Long"
"Becky Gardiner, Joseph Farnham"
"Alfred Block, Byron Morgan"
"Albert Richard Wetjen, Laurence Stallings"
"Ernst Johannsen, Ladislaus Vajda"
"William Anthony McGuire, Owen Davis"
"Arthur Caesar, Edwin Bateman Morris"
"Earl Baldwin, Earl Baldwin"
"Katharine Brush, Robert Presnell Sr."
Aleksandr Dovzhenko
"Luis Buñuel, Salvador Dalí"
"Louis Weitzenkorn, Louis Bromfield"
"Joseph David, Joseph David"
"George Arliss, Mary Hamlin"
"Lewis Carroll, John E. Goodson"
Guy Bolton
"Theodore Dreiser, Samuel Hoffenstein"
"Wesley Ruggles, Howard Estabrook"
"Sinclair Lewis, Sidney Howard"
"John Howard Lawson, J. Walter Ruben"
"Edward Childs Carpenter, Laurence E. Johnson"
"Viña Delmar, Brian Marlow"
"Edwin H. Knopf, Edwin H. Knopf"
"Ladislas Fodor, Joseph Jackson"
"Alan Schultz, Carey Wilson"
"Karl Hartl, Luis Trenker"
"Alfred Döblin, Alfred Döblin"
"Patricia Reilly, H.N. Swanson"
"Octavus Roy Cohen, Walter DeLeon"
"Earl Derr Biggers, Hugh Stanislaus Stange"
"Kubec Glasmon, John Bright"
"Fritz Reck-Malleczewen, Jenö Heltai"
"Ernest Pascal, Ernest Pascal"
"S.N. Behrman, Maude Fulton"
"Bert Kalmar, Harry Ruby"
H.M. Walker
"Douglas MacLean, Ralph Spence"
"Frances Marion, Wanda Tuchock"
"A. Hamilton Gibbs, Waldemar Young"
"Earl Derr Biggers, Barry Conners"
"Harry Hervey, Hector Turnbull"
"Georges de La Fouchardière, Jean Renoir"
Betty Burbridge
"Edna Ferber, Howard Estabrook"
Charles Chaplin
"Dashiell Hammett, Max Marcin"
"Tristan Bernard, Dorothy Farnum"
"Robert W. Chambers, John Farrow"
"William M. Conselman, Mark Twain"
"Bill Cunningham, Humphrey Pearson"
"Walton Green, Roland West"
"Douglas MacLean, Ralph Spence"
"Martin Flavin, Fred Niblo Jr."
"C. Gardner Sullivan, Bess Meredyth"
"S.N. Behrman, Sonya Levien"
"Aurania Rouverol, Aurania Rouverol"
"Alexander Engel, Alfred Grünwald"
"Lloyd Corrigan, Monte M. Katterjohn"
"Arthur Schnitzler, Cyril Hume"
"Guy Bolton, Guy Bolton"
"Pamela Wynne, Horace Jackson"
"Frank Wead, Jo Swerling"
"William Anthony McGuire, Leon Gordon"
"Bram Stoker, Hamilton Deane"
"Bram Stoker, Baltasar Fernández Cué"
"Bertolt Brecht, Léo Lania"
Harold McGrath
"Edith Ellis, Eugene Walter"
"Mrs. Henry Wood, Tom Barry"
"Edwin H. Knopf, Dale Van Every"
"David Freedman, Arthur Caesar"
"Erich Kästner, Billy Wilder"
"Al Boasberg, Tim Whelan"
"Wilson Collison, Harvey F. Thew"
"Arthur Kober, Ray Harris"
"Herbert Fields, E. Ray Goetz"
"Zane Grey, Edward E. Paramore Jr."
"Jean Boyer, Camille Flammarion"
"John Monk Saunders, W.R. Burnett"
"Louis Weitzenkorn, Byron Morgan"
"Fannie Hurst, Andrew Percival Younger"
"Buddy G. DeSylva, Lew Brown"
"John L. Balderston, Mary Shelley"
"Adela Rogers St. Johns, Becky Gardiner"
"Maurice Dekobra, Wallace Smith"
"Ben Hecht, Charles MacArthur"
"Helmer Walton Bergman, Ford Beebe"
"Doris Anderson, Alfred Jackson"
"Ursula Parrott, Leonard Praskins"
"Zoe Akins, Raymond Griffith"
"Joseph Jackson, Raymond Griffith"
"Mary McCall, Robert Lord"
"Leo Ditrichstein, Frederic Hatton"
"Charles Brabin, Edith Ellis"
"Ferenc Molnár, Ernest Vajda"
"Jo Milward, J. Kirby Hawks"
"Bayard Veiller, Bayard Veiller"
"Rudolph Bernauer, Rudolf Österreicher"
"Melville Baker, Dale Collins"
"Max Brand, Myron C. Fagan"
"Austin Parker, Austin Parker"
Herbert Fields
"John B. Clymer, Dale Van Every"
"Károly Nóti, István Zágon"
"Roland Pertwee, Houston Branch"
"Vincent Lawrence, Mary Roberts Rinehart"
"Edith Fitzgerald, Robert Riskin"
"Buddy G. DeSylva, Lew Brown"
Gene Markey
"W.R. Burnett, Francis Edward Faragoh"
"Carl Haensel, Peter Martin Lampel"
"Louis Sarecky, Forrest Halsey"
"Sam Taylor, David Belasco"
"Henry Martyn Blossom, Julien Josephson"
"Norbert Falk, Robert Liebmann"
"Ernest Booth, Louis Weitzenkorn"
"Rupert Hughes, Herman J. Mankiewicz"
"Robert Milton, Guy Bolton"
"Komatsu Kitamura, Yasujirô Ozu"
"John Monk Saunders, John Monk Saunders"
"Douglas MacLean, Gregory La Cava"
"Kenyon Nicholson, Edith Fitzgerald"
"Leopold Jacobson, Felix Dormann"
Mario Peixoto
"J.C. Nugent, Elliott Nugent"
"A.H. Woods, Walter DeLeon"
"Thea von Harbou, Fritz Lang"
"Martin Brown, J. Grubb Alexander"
"Akira Fushimi, Komatsu Kitamura"
"Dashiell Hammett, Maude Fulton"
"H.M. Harwood, Sarah Y. Mason"
"Herman J. Mankiewicz, Herman J. Mankiewicz"
"Samuel Shipman, Robert Lord"
"Ludwig Hirschfeld, Ernst Neubach"
"Marcel Pagnol, Marcel Pagnol"
"Robert Riskin, Augustus Thomas"
"Vincent Lawrence, Doris Anderson"
Robert Carson
"Donald Henderson Clarke, Charles Kenyon"
"Georges Berr, René Clair"
"Earl Derr Biggers, Booth Tarkington"
"Jo Swerling, John Meehan"
"S.J. Perelman, Will B. Johnstone"
"Scott Darling, Scott Darling"
"Charles Beahan, Rufus King"
Charles Kenyon
"Owen Davis, Adelaide Heilbron"
"Herbert A. Jones, Lew Lipton"
"Christa Winsloe, Friedrich Dammann"
"Fyodor Dostoevsky, Erich Engels"
"Richard Weil, Earl Baldwin"
"Peter B. Kyne, Ruth Cummings"
"Charles MacArthur, George Randolph Chester"
"Leonhard Frank, Leonhard Frank"
"Grace Perkins, Oliver H.P. Garrett"
"Daisuke Itô, Eiji Yoshikawa"
"Grigoriy Kozintsev, Leonid Trauberg"
Georges Feydeau
"Béla Balázs, Bertolt Brecht"
"Maude Fulton, Maude Fulton"
"Tom Buckingham, Howard Higgin"
"Eddie Cantor, Morrie Ryskind"
H.M. Walker
"C.W. Bell, Mark Swan"
"Tim Whelan, Ralph Spence"
"Booth Tarkington, Waldemar Young"
"Gaston Leroux, Edwin Justus Mayer"
"Alan James, Alan James"
"Harry Chandlee, Douglas W. Churchill"
"Zelda Sears, Malcolm Stuart Boylan"
H.M. Walker
"Edgar Selwyn, Lenore J. Coffee"
"Noël Coward, Hanns Kräly"
"George Goodchild, Bernard Schubert"
"Kubec Glasmon, John Bright"
"Nikolai Ekk, Anton Makarenko"
"Rowland Brown, Rowland Brown"
"Milton Krims, Milton Krims"
"Donald Ogden Stewart, Horace Jackson"
"Arthur Richman, Florence Ryerson"
"Robert E. Hopkins, Zelda Sears"
"Niven Busch, Erwin Gelsey"
"Gilbert Parker, Francis Edward Faragoh"
"Denise Robins, Roland Pertwee"
"J. Walter Ruben, Robert E. Sherwood"
"Rowland V. Lee, Donald W. Lee"
"Houston Branch, Joseph Jackson"
"Federico Gamboa, Carlos Noriega Hope"
"Dudley Nichols, James Parker Jr."
Frances Marion
"Gladys Lehman, Charles G. Norris"
"Arthur Conan Doyle, Cyril Twyford"
"Billy K. Wells, Arthur Caesar"
"George Landy, Paul Gerard Smith"
Edward Knoblock
"Rex Taylor, Billy K. Wells"
"John Galsworthy, Alfred Hitchcock"
"Percy Crosby, Sam Mintz"
"Kubec Glasmon, John Bright"
"Myron C. Fagan, Salisbury Field"
"Viña Delmar, Perry N. Vekroff"
"Francis Marion Crawford, Ernest Vajda"
"Arthur Conan Doyle, W.P. Lipscomb"
"Frederick Hazlitt Brennan, Charles Brabin"
"Edwin Milton Royle, Lucien Hubbard"
"Lucien Hubbard, Lucien Hubbard"
"Elmer Harris, Elmer Harris"
"George Abbott, Dana Burnet"
Ursula Parrott
"Elmer Rice, Elmer Rice"
"Preston Sturges, Gladys Lehman"
"Anita Loos, John Emerson"
Arnold Fanck
"Leon Gordon, David Graham Phillips"
"George L. Du Maurier, J. Grubb Alexander"
"F.W. Murnau, Robert J. Flaherty"
"Donald Ogden Stewart, Donald Ogden Stewart"
"Jo Swerling, Jo Swerling"
"Mildred Cram, John Meehan"
"Martin Flavin, Beulah Marie Dix"
"George Kibbe Turner, Earl Baldwin"
"Komatsu Kitamura, Kôgo Noda"
"Fanny Hatton, Frederic Hatton"
"Ethelreda Lewis, Dale Van Every"
"Guy Bolton, Lynn Starling"
"Kate Jordan, Elizabeth Meehan"
"Frank Mitchell Dazey, Agnes Christine Johnston"
"Ben Hecht, Ben Hecht"
"Bruno Granichstaedten, Ernst Marischka"
"Garnett Weston, Garnett Weston"
"Robert E. Sherwood, Benn W. Levy"
"Jane Murfin, Jane Murfin"
"John Farrow, John Farrow"
"Michael Morton, Jules Furthman"
René Clair
"Hugh Stanislaus Stange, John Golden"
"Martin Flavin, Sarah Y. Mason"
"Dale Van Every, Frank Wead"
"Imre Földes, Houston Branch"
Robert Riskin
"Horace Jackson, Philip Barry"
"Dwight Taylor, J.P. McEvoy"
"Maurice Leblanc, Francis de Croisset"
"Luigi Pirandello, Gene Markey"
"James Kevin McGuinness, Jo Swerling"
"Fannie Hurst, Gladys Lehman"
W.R. Burnett
"Jo Swerling, Jo Swerling"
"William Ford Manley, George Marion Jr."
"Ward Morehouse, Ward Morehouse"
"Marion Jackson, Kurt Kempler"
"Robert Riskin, Robert Riskin"
"Howard Estabrook, Harry Wagstaff Gribble"
"Richard Walton Tully, Wells Root"
"Béla Balázs, Leni Riefenstahl"
"Howard J. Green, Forrest Wilson"
"Jules Furthman, S.K. Lauren"
"Walter Reisch, Billy Wilder"
"Frances Marion, Anita Loos"
René Fauchois
"Maurice Rostand, Reginald Berkeley"
"Ivor Novello, Ivor Novello"
Harry Adler
"Paul Green, Harry Harrison Kroll"
"Edwin J. Burke, Tiffany Thayer"
"Marion Jackson, Don Ryan"
"Ward Morehouse, Earl Baldwin"
"Barry Conners, Philip Klein"
"Earl Derr Biggers, Barry Conners"
"Wilson Mizner, Robert Lord"
"Robert Lord, Howard Estabrook"
"Earl Baldwin, Larry Barretto"
"Raymond Bernard, Roland Dorgelès"
"Ralph Spence, Tim Whelan"
"Charles Kenyon, Rian James"
"John Bright, Niven Busch"
"R. Gore Brown, Frances Marion"
"James Ashmore Creelman, Herman J. Mankiewicz"
"Joseph Jackson, Wilson Mizner"
"Harry Hervey, Benn W. Levy"
"Maurice Rapf, Delmer Daves"
"Robert Tasker, Earl Baldwin"
"John Gilbert, Lenore J. Coffee"
"Samuel Hoffenstein, Percy Heath"
"Frances Marion, Leonard Praskins"
"Edna Ferber, George S. Kaufman"
"Robert Horky, Frantisek Horký"
"Walter Reisch, Curt Siodmak"
"Carey Wilson, Mildred Cram"
"Courtney Terrett, Harvey F. Thew"
"Marcel Pagnol, Marcel Pagnol"
"Benjamin Glazer, Oliver H.P. Garrett"
"Byron Morgan, Ralph Spence"
"Roy Chanslor, Dorothy Howell"
"Ray Enright, Robert Lord"
"Edmund Goulding, Leonard Praskins"
"Frank Capra, Jo Swerling"
"Clarence Aaron 'Tod' Robbins, Willis Goldbeck"
"Corey Ford, Francis M. Cockrell"
"Georges Courteline, Edouard Nores"
"Adele Buffington, Adele Buffington"
"Jack McGowan, Guy Bolton"
"Oscar Micheaux, Oscar Micheaux"
"Vicki Baum, William Absalom Drake"
"Zoe Akins, Sidney Howard"
Leonid Perelman
"Gregory La Cava, Corey Ford"
"Achmed Abdullah, David Belasco"
"Adele Buffington, Adele Buffington"
"Frank Wead, Harvey Gates"
"Samuel Ornitz, Robert Tasker"
"Howard Higgin, Paul Gangelin"
"Pierre Benoît, Alexandre Arnoux"
"Aben Kandel, Joseph Jackson"
"Walter DeLeon, S.J. Perelman"
"Bert Kalmar, Harry Ruby"
"Seton I. Miller, Josephine Lovett"
"Francis Wallace, Robert Lee Johnson"
"Colbert Clark, Barney A. Sarecky"
"Robert E. Burns, Howard J. Green"
"Robert Hardy Andrews, Claude Binyon"
"Donald Henderson Clarke, Richard Schayer"
"Ben Markson, Allen Rivkin"
Aleksandr Dovzhenko
"Erwin Gelsey, Ladislas Fodor"
"William Anthony McGuire, Bert Kalmar"
"Charles Reed Jones, Charles Reed Jones"
"Leon Gordon, Chester De Vonde"
"Bertolt Brecht, Ernst Ottwald"
"John Frederick Ballard, Marion Dix"
"Grover Jones, William Slavens McNutt"
"Harriet Henry, Horace Jackson"
"John Wexley, Seton I. Miller"
"James Fenimore Cooper, Colbert Clark"
"W.R. Burnett, John Huston"
"Rian James, James Seymour"
"Marie Belloc Lowndes, John Meehan"
"Mary M. Axelson, Earl Baldwin"
"Marie Belloc Lowndes, Miles Mander"
"Dick Grace, Wallace Smith"
"Ursula Parrott, Jo Swerling"
"Rian James, Courtney Terrett"
"Samuel Hoffenstein, George Marion Jr."
Frederick Lonsdale
"David Belasco, John Luther Long"
"Sam Mintz, Walter DeLeon"
"Robert Lord, Charles Kenyon"
"Jules Eckert Goodman, Gouverneur Morris"
"David Hempstead, Norman Houston"
"Pál Fejös, Ilona Fülöp"
"Irene Kuhn, Edgar Allan Woolf"
"Benjamin Glazer, Leo Birinsky"
"Einar Thorvaldson, Houston Branch"
"Philip Klein, Barry Conners"
"Samuel Ornitz, Jack Jungmeyer"
"Louis Weitzenkorn, Louis Stevens"
"Cleo Lucas, Edwin Justus Mayer"
"John T. Neville, Norman Battle"
"Joseph L. Mankiewicz, Henry Myers"
"George M. Cohan, Robert Hobart Davis"
"Mary Roberts Rinehart, Niven Busch"
"Robert Ellis, Robert Ellis"
"James Ashmore Creelman, Richard Connell"
"Frank J. Collins, Joseph Jackson"
"Vincent Lawrence, Vincent Lawrence"
"Douglas Fairbanks, Thomas J. Geraghty"
"Nina Wilcox Putnam, Richard Schayer"
"Barry Barringer, Barry Barringer"
"Edgar Allan Poe, Robert Florey"
"Shunyo Yanagawa, Kôgo Noda"
"John Van Druten, Zelda Sears"
"Louis Bromfield, Vincent Lawrence"
"Bayard Veiller, Lenore J. Coffee"
"P.J. Wolfson, Allen Rivkin"
"Maurine Dallas Watkins, Milton Herbert Gropper"
"Grace Perkins, Gertrude Purcell"
"Georges Simenon, Jean Renoir"
"Joseph Jefferson Farjeon, Joseph Jefferson Farjeon"
"J.B. Priestley, Benn W. Levy"
"Moss Hart, George S. Kaufman"
"Lothar Schmidt, Samson Raphaelson"
"Wilson Mizner, Joseph Jackson"
Garrett Fort
"Laurence E. Johnson, Ralph Spence"
"Ernest Vajda, Claudine West"
"Willis Goldbeck, Stuart Palmer"
"Laird Doyle, Emory Johnson"
"Walter DeLeon, Harlan Thompson"
"Bartlett Cormack, Bartlett Cormack"
"Frederick Hazlitt Brennan, Maurine Dallas Watkins"
"Jules Renard, Julien Duvivier"
"Margaret Mayo, Carey Wilson"
"Harry Hervey, Tay Garnett"
"Sylvia Thalberg, Frank Butler"
"Arthur Stringer, Robert Lord"
"John Colton, Clemence Randolph"
Charles MacArthur
"John Lee Mahin, Wilson Collison"
"Wilson Collison, Edward T. Lowe Jr."
"Katharine Brush, Anita Loos"
"Ethel Pettit, Austin Parker"
"Dale Collins, Alfred Hitchcock"
"Kenneth Perkins, Scott Mason"
"Maurice Level, J. Walter Ruben"
"Howard Estabrook, George Kibbe Turner"
"Clifford Grey, Sidney Gilliat"
Brewster Morse
"Armitage Trail, Ben Hecht"
"Samuel Ornitz, Robert Tasker"
"Kôgo Noda, Kôgo Noda"
"Lajos Biró, Eliot Crawshay-Williams"
"Ford Beebe, Colbert Clark"
"William Gillette, Bertram Millhauser"
"Sarah Y. Mason, Jo Swerling"
"Arthur Conan Doyle, W.P. Lipscomb"
"Waldemar Young, Sidney Buchman"
"Carl Erickson, Harvey F. Thew"
Norton S. Parker
"Mildred Cram, Samuel Hoffenstein"
"Morton Barteaux, Bradley King"
"Faith Baldwin, C. Gardner Sullivan"
"Jane Cowl, Jane Murfin"
