writer
Alexander Black
Charles Tait
"Pierre Collings, Carl Van Vechten"
Valentin Turkin
"Frances Marion, Salisbury Field"
"Theodor Storm, Thea von Harbou"
"Rafael Sabatini, Dorothy Farnum"
"Avery Hopwood, Julien Josephson"
"Paul Gerard Smith, Al Boasberg"
"Herbert Brenon, John Russell"
"Alexandre Chatrian, Emile Erckmann"
"Bruce Bairnsfather, Arthur Eliot"
"Joseph Farnham, Agnes Christine Johnston"
"Douglas Fairbanks, Jack Cunningham"
"Tod Browning, Joseph Farnham"
"Gerald Beaumont, Gordon Rigby"
"Frédérique De Grésac, Henri Murger"
"George Scarborough, Annette Westbay"
"Rida Johnson Young, Donald Ogden Stewart"
"Rasmus Breistein, Kristofer Janson"
"Edmund Goulding, Forrest Halsey"
Bess Meredyth
"Mervyn LeRoy, Frank Griffin"
"Harry Chapman Ford, Elmer Harris"
"Marc Connelly, Sam Taylor"
"Gerhart Hauptmann, Hans Kyser"
"Howard Hawks, Hope Loring"
"James Ashmore Creelman, J. Clarkson Miller"
"Benjamin Glazer, Hermann Sudermann"
"Ted Wilde, John Grey"
"Karl Abraham, Hans Neumann"
"Paul Leicester Ford, John Stone"
"Reggie Morris, Monte Brice"
Arnold Fanck
"Arthur Ripley, Frank Capra"
"J.P. McEvoy, W.C. Fields"
"William Anthony McGuire, Otto A. Harbach"
"Hanns Kräly, André Picard"
"Yasunari Kawabata, Yasunari Kawabata"
"Marie Belloc Lowndes, Eliot Stannard"
"George Abbott, John V.A. Weaver"
"Riccardo Artuffo, Stefano Pittaluga"
"W. Somerset Maugham, Rex Ingram"
"Sinclair Lewis, Adelaide Heilbron"
"Vicente Blasco Ibáñez, Willis Goldbeck"
"Maxim Gorky, Nathan Zarkhi"
"Thea von Harbou, Thea von Harbou"
"Boris Barnet, Fyodor Otsep"
"Edgar Franklin, Doris Schroeder"
"Alexander Shirvanzade, Amo Bek-Nazaryan"
"Pierre Lestringuez, Émile Zola"
"J.W. McConaughty, Joseph Shearing"
"Laurence Stallings, Harry Carr"
"Lev Kuleshov, Jack London"
"Umberto Notari, Yakov Protazanov"
"Tod Browning, Joseph Farnham"
"Louis Nerz, Robert Wiene"
"Nathaniel Hawthorne, Frances Marion"
"Herman Melville, Bess Meredyth"
"Peter B. Kyne, Elizabeth Pickett"
"Nikolay Gogol, Yuri Tynyanov"
"George Kelly, Pierre Collings"
"Henri Meilhac, Ludovic Halévy"
"J. Clarkson Miller, Howard Emmett Rogers"
"Edith Maude Hull, Frances Marion"
"Marie Corelli, John Russell"
"Winifred Dunn, George Marion Jr."
"Arthur Ripley, Hal Conklin"
"Hanns Heinz Ewers, Henrik Galeen"
"Molière, Carl Mayer"
"Vicente Blasco Ibáñez, Dorothy Farnum"
"Herman Whitaker, John Stone"
"Vicente Blasco Ibáñez, Dorothy Farnum"

"Konrad Bercovici, Lenore J. Coffee"
"Raymond L. Schrock, Joseph Farnham"
"Maxwell Anderson, Malcolm Stuart Boylan"
"Rupert Hughes, Frances Marion"
"Richard Harding Davis, Clara Beranger"
"Hanns Heinz Ewers, Henrik Galeen"
"Marian Ainslee, Ruth Cummings"
"Boris Altshuler, Olga Vishnevskaya"
"Hall Caine, Rowland V. Lee"
"Paul Bern, George Marion Jr."
"Felix Fischer, Jacques Bachrach"
"Jack Cunningham, Frederick William Wallace"
"Norbert Falk, Ivan Mozzhukhin"
"John Willard, Robert F. Hill"
"Maurine Dallas Watkins, Lenore J. Coffee"
"Owen Johnson, Adela Rogers St. Johns"
"Carl Harbaugh, Bryan Foy"
"Vadim Shershenevich, Valentin Turkin"
"Constance Collier, Ivor Novello"
"Katharine Brush, Winifred Dunn"
"Noël Coward, Eliot Stannard"
"George Ade, Joseph Farnham"
"Darryl F. Zanuck, Anthony Coldeway"
Douglas Fairbanks
"Buster Keaton, Clyde Bruckman"
"Agnes Brand Leahy, Hope Loring"
"Jean Epstein, Paul Morand"
Aleksandr Medvedkin
"Stanley Houghton, Victor Saville"
"Lajos Biró, Jules Furthman"
"Doris Anderson, Ethel Doherty"
"Elinor Glyn, Hope Loring"
"Samson Raphaelson, Alfred A. Cohn"
"Raymond Bernard, Henry Dupuis-Mazuel"
"John Grey, Ted Wilde"
Jeanie Macpherson
Nathan Zarkhi
"Ilja Ehrenburg, Rudolf Leonhardt"
"Tod Browning, Waldemar Young"
"Robert Eddy, Tay Garnett"
"Leo Tolstoy, Marian Ainslee"
"Max Marcin, Charles Guernon"
"Alice D.G. Miller, Monta Bell"
"Benjamin Christensen, Stig Esbern"
"Maurice Vernon, Harold Owen"
"Kathleen Norris, Allen McNeil"
Abel Gance
"Sergei M. Eisenstein, Grigoriy Aleksandrov"
"Darryl F. Zanuck, Anthony Coldeway"
"Carey Wilson, Carey Wilson"
"Harry Carr, Benjamin Glazer"
"Gerald C. Duffy, Winifred Dunn"
"Sergey Komarov, Vadim Shershenevich"
"Marian Ainslee, J.M. Barrie"
"Frances Marion, Frances Marion"
Alfred Hitchcock
"Roy Briant, Gregory La Cava"
David Starkman
"Austin Strong, Benjamin Glazer"
"Julien Josephson, John W. Krafft"
"Anthony Asquith, J.O.C. Orton"
"Waldemar Young, Charles Tenney Jackson"
"Joseph Farnham, Andrew Percival Younger"
"Frank Davis, Vincent Lawrence"
"Karl Heinrich, Marian Ainslee"
"Aleksandr Dovzhenko, Boris Shcharansky"
"Carl Mayer, Hermann Sudermann"
"Edgar Rice Burroughs, William E. Wing"
"Richard Schayer, Joseph Farnham"
"Robert Eddy, James Langdon"
"Agnes Christine Johnston, Edward T. Lowe Jr."
"Viktor Shklovskiy, Viktor Shklovskiy"
"Joseph Farnham, William Anthony McGuire"
"Wallace Smith, Cyril Gardner"
"René Clair, Eugène Labiche"
"Harriet Beecher Stowe, Walter Anthony"
"Charles Furthman, Ben Hecht"
"Tod Browning, Waldemar Young"
"Randall Faye, Wallace Smith"
Bess Meredyth
"John Monk Saunders, Hope Loring"
"Marian Ainslee, Josephine Chippo"
"Max Brod, Ladislaus Vajda"
"Shipu Wang, Hou Yao"
"Franz Schulz, Adolf Lantz"
"Ben Ames Williams, Ted Shane"
"Daniel Carson Goodman, Gerrit J. Lloyd"
"Benjamin Glazer, Jim Tully"
"Frances Marion, George McManus"
"Frank Wedekind, Ladislaus Vajda"
"Clyde Bruckman, Lew Lipton"
"Jacques Deval, Lucille Newmark"
"Alfred Hitchcock, Walter C. Mycroft"
"Edgar Allan Poe, Luis Buñuel"
Charles Chaplin
"John Colton, Frances Marion"
"René Clair, Eugène Labiche"
"John Colton, Dorothy Farnum"
"Jules Furthman, John Monk Saunders"
"Nikolay Erdman, Anatoli Marienhof"
"Aleksandre Kazbegi, Nikoloz Shengelaia"
"Eden Phillpotts, Eliot Stannard"
"Pierre Frondaie, Philip Klein"
"Nicholas T. Barrows, George Marion Jr."
"Berthold Viertel, Herman Bang"
"A.E.W. Mason, Hope Loring"
"Philip Klein, I.A.R. Wylie"
"George Abbott, George Abbott"
"Hanns Kräly, Avery Hopwood"
"Franz Höllering, Herbert Juttke"
"Howard Hawks, James Kevin McGuinness"
"Philip Klein, Marion Orth"
"Leonhard Frank, Joe May"
"Noel Pemberton-Billing, L'Estrange Fawcett"
"Teinosuke Kinugasa, Teinosuke Kinugasa"
"Leroy Scott, Edmund Goulding"
"Lajos Biró, John F. Goodrich"
"David Belasco, Tom Cushing"
"Murray Roth, Hugh Herbert"
"Jane Cowl, Guy Fowler"
"Mann Page, Edward T. Lowe Jr."
Alexandre Arnoux
"Victor Hugo, J. Grubb Alexander"
"Robert Lord, Ernest Pagano"
"Rex Beach, Walter Woods"
"Rida Johnson Young, Gertrude Orr"

"Ludwig Wolff, Bess Meredyth"
"Josephine Lovett, Marian Ainslee"
"Joseph Delteil, Carl Theodor Dreyer"
"Barry Conners, Ralph Spence"
"Osip Brik, I. Novokshenov"
"Sonya Levien, Fred Thompson"
"Bartlett Cormack, Bartlett Cormack"
"Henry Leyford Gates, Eleanor Browne"
"Fred Stanley, James Gruen"
"Otto A. Harbach, Lucien Hubbard"
"W. Somerset Maugham, Raoul Walsh"
"Niranjan Pal, William A. Burton"
"Agnes Christine Johnston, Laurence Stallings"
"C. Graham Baker, C. Graham Baker"
"Byron Morgan, Ann Price"
"John Grey, Lex Neal"
"Thea von Harbou, Fritz Lang"
Carl Harbaugh
"Monckton Hoffe, Philip Klein"
"Norman Springer, Dorothy Howell"
"George Marion Jr., Vladimir Nemirovich-Danchenko"
"Elmer Harris, Elmer Harris"
"André Sylvane, André Mouëzy-Éon"
"Robert W. Service, Benjamin Glazer"
Anthony Asquith
"Jack Cunningham, Ottilie A. Liljencrantz"
"Perley Poore Sheehan, Lajos Biró"
"Courtney Ryley Cooper, Bradley King"
"Harry Carr, Erich von Stroheim"
"Elliott J. Clawson, Chester De Vonde"
"Joseph Farnham, Andrew Percival Younger"
"Frederick O'Brien, Ray Doyle"
"Frances Marion, Dorothy Scarborough"
"Michael Arlen, Marian Ainslee"
"Leo Tolstoy, Boris Gusman"
"Aleksandr Dovzhenko, Mikhail Ioganson"
"Florián Rey, Florián Rey"
"Roland West, C. Gardner Sullivan"
"Beth Brown, Garrett Fort"
"Arthur Bernède, Marcel L'Herbier"
Aleksandr Dovzhenko
"Joe May, Hans Székely"
"Victor Kendall, Ernest Raymond"
"Earl Derr Biggers, Sonya Levien"
"George S. Brooks, Walter DeLeon"
"James Kevin McGuinness, Talbot Mundy"
"Charles Bennett, Alfred Hitchcock"
"Philip Dunning, George Abbott"
"Jay Gelzer, Monte M. Katterjohn"
"Edmund Goulding, Norman Houston"
"Herman C. McNeile, Sidney Howard"
"Albert S. Le Vino, Herman J. Mankiewicz"
"Alberto Cavalcanti, Théophile Gautier"
"George S. Kaufman, Morrie Ryskind"
"Sidney Howard, Blair Niles"
"George Abbott, Ann Preston Bridgers"
"Yoshirô Aramaki, Hiroshi Shimizu"
"Benjamin Glazer, Arthur Hopkins"
"Lester Cohen, Donald Davis"
"John T. Neville, Dale Van Every"
"Eugène Scribe, Ernest Legouve"
Julien Josephson
"E. Barrington, Forrest Halsey"
"Falkland L. Cary, Dale Van Every"
"Jeanie Macpherson, John Howard Lawson"
"Gustav Machatý, Gustav Machatý"
"Jakob Christoph Heer, Hanns Kräly"
"Finis Fox, Finis Fox"
"Ralph Graves, Frank Capra"
"Frank Wead, Byron Morgan"
"Victor Kendall, Garnett Weston"
"Thea von Harbou, Thea von Harbou"
"Arthur Schnitzler, Paul Czinner"
"Kenyon Nicholson, John Golden"
"J.P. McEvoy, Millard Webb"
"Jeanie Macpherson, Beulah Marie Dix"
"Avery Hopwood, Robert Lord"
"Leonid Iyerikhonov, Ilya Trauberg"
"William Vaughn Moody, Fred Myton"
"Ben Hecht, Hugh Herbert"
"Bartlett Cormack, Louise Long"
"Jane Murfin, George Kibbe Turner"
"Wanda Tuchock, Richard Schayer"
"Peter B. Kyne, Tom Reed"
