imdb_title_id,genre
20336,"Comedy, Drama, Musical"
20344,Drama
20358,Musical
20359,"Drama, Romance, Sport"
20364,"Comedy, Romance"
20388,"Comedy, Mystery, Thriller"
20392,"Drama, Sport"
20402,"Drama, Musical, Romance"
20403,Musical
20405,Drama
20410,"Drama, Romance"
20425,"Comedy, Drama, Romance"
20431,Comedy
20439,"Drama, Romance, Sport"
20442,Comedy
20446,"Drama, Music, Romance"
20451,Drama
20458,"Drama, Musical, Romance"
20461,"Crime, Mystery"
20466,"Comedy, Musical"
20475,Drama
20479,"Comedy, Romance"
20480,"Comedy, Musical"
20488,"Drama, Romance"
20490,Comedy
20492,"Drama, Mystery"
20499,"Crime, Drama, Film-Noir"
20502,Western
20510,Drama
20514,Drama
20516,Drama
20534,"Mystery, Thriller"
20538,"Adventure, Drama, Romance"
20542,"Comedy, Musical"
20543,Drama
20547,"History, War"
20556,"Romance, Western"
20563,Comedy
20570,"Action, Adventure, Drama"
20572,Comedy
20581,"Drama, Romance"
20585,"Comedy, Drama, Romance"
20589,"Romance, Drama"
20590,"Comedy, Drama"
20608,Drama
20613,Drama
20620,"Biography, Drama, History"
20629,"Drama, War"
20640,"Comedy, Musical"
20641,"Drama, Romance"
20642,Drama
20656,"Drama, Romance"
20661,"Drama, Romance"
20668,"Crime, Thriller, Horror"
20670,"Comedy, Musical"
20673,"Adventure, Romance, War"
20679,"Crime, Mystery, Thriller"
20686,"Crime, Drama, Thriller"
20690,"Comedy, Music, Romance"
20691,"Adventure, Western, Romance"
20693,"Action, Biography, Drama"
20695,"Drama, Mystery"
20697,"Drama, Music"
20701,Drama
20702,"Crime, Drama, War"
20713,"Drama, Musical, Romance"
20724,"Musical, Romance"
20740,"Adventure, Drama, Music"
20754,Comedy
20758,Comedy
20763,"Comedy, Musical, Romance"
20768,"Drama, Romance"
20785,Mystery
20793,"Crime, Drama"
20799,"Comedy, Musical"
20806,"Adventure, Drama"
20814,Drama
20815,"Action, Drama, War"
20821,"Comedy, Romance"
20823,"Drama, Romance"
20827,"Romance, Drama"
20828,"Comedy, Drama, Music"
20836,"Crime, Drama"
20838,"Comedy, Romance, War"
20842,"Comedy, Musical, Romance"
20852,"Comedy, Musical"
20866,"Drama, Romance"
20869,"Comedy, Crime, Drama"
20873,"Comedy, Romance"
20875,"Crime, Drama, Mystery"
20876,"Adventure, Comedy, Romance"
20890,"Comedy, Romance"
20891,"Drama, Musical, Romance"
20894,"Comedy, Musical, Romance"
20896,"Crime, Drama, Romance"
